image_name| comment_number| comment|Translated_Comment
2305517013.jpg| 2| A man goes snowshoeing in the winter with mountains in the background .|Эр хүн өвөл цасны цас ордог.
4597021222.jpg| 1| One man plays an acoustic guitar , while another accompanies him on the accordion .|Нэг хүн акустик гитар тоглодог, нөгөө нь түүнийг ordical дээр дагалддаг.
7130486481.jpg| 4| Body surfing at the concert .|Тоглолтонд бие махбодийн серфинг.
2644470867.jpg| 4| A girl is dressed up as Wall-E the robot .|Охид нь хана-e робот шиг хувцасладаг.
195546059.jpg| 2| A man in a tie stands in an elevator shaft near a garage construction site .|Гаражийн барилгын газрын ойролцоо уялдаа холбогч босоо аманд гардаг.
4660152902.jpg| 2| The woman is wearing a flower printed shirt .|Эмэгтэй хүн цэцгийн хэвлэмэл цамц өмссөн байна.
2764178773.jpg| 1| A person is holding onto a bicycle in the air with his body in flight position .|Нислэгийн албан тушаалд биеэ агаарт агаарт унадаг дугуй барьж байна.
96113759.jpg| 0| A person , dressed in a white shirt , is sitting in front of a mirror and applying makeup .|Цагаан цамц өмссөн хүн, толин тусгалын урд сууж, нүүр будалтаа түрхэж байна.
3006095077.jpg| 1| Two men wearing hats stand together and smile .|Хоёр эрэгтэй малгай өмссөн хоёр эрэгтэй хамтдаа зогсож, инээмсэглэдэг.
2567554362.jpg| 1| Caucasian female In a black dress , Near an old Wooden Fence .|Кавказын эмэгтэй хар даашинзтай, хуучин модон хашаагаар ойрхон.
4834121945.jpg| 3| Two cars are parked by a body of water by some cranes .|Хоёр машиныг хэдэн тогоруугаар нь усаар хийдэг.
2610183526.jpg| 2| A bride and groom are standing on a walkway looking at a body of water .|Сүйт бүсгүй, хүргэн нь усны биеийг хараад алхаж явдаг.
5234657740.jpg| 4| A man is playing a guitar solo|
291768952.jpg| 1| Man in jeans and sweatshirt jumping in air on wet surface that shows reflection .|Хүн жинсэн өмд, цамцтай цамц өмссөн нойтон гадаргуу дээр тусгасан нойтон гадаргуу дээр үсэрч байна.
3073535022.jpg| 2| A woman in a yellow shirt is surfing on a white surfboard .|Шар цамцтай эмэгтэй нь цагаан гадаргуу дээр гадагш чиглүүлдэг.
343662720.jpg| 0| This bald man , who appears to be asleep , is sitting at a table at a library .|Энэ халзан хүн унтаж байгаа юм шиг харагдаж байна, номын санд ширээн дээр сууж байна.
4788653947.jpg| 2| An older lady sitting on a black chair with her leg up on a walker .|Хөгшин эмэгтэй хөл дээрээ хөл дээрээ хөл дээрээ сууж байв.
3318995586.jpg| 1| The little girl is sitting under the basket while the man throws the ball .|Бяцхан охин нь сагсыг бөмбөг шидэж байхад сагс дор сууж байна.
2834032170.jpg| 4| Two station wagons unloading cargo in third world village .|Дэлхийн гурав дахь тосгон дахь хоёр станцын вагон боодлыг буулгах.
2473689180.jpg| 2| A wakeboarder is jumping a huge wave .|Сэргээх самбар нь асар том долгионтой үсэрч байна.
2438616168.jpg| 0| A young man in a white sweatshirt and jeans sits next to a young girl wearing a black sweatshirt and jeans on a set of stairs .|Цагаан цамцтай, жинсэн өмд өмссөн залуу охины хажууд хар цамц, жинсэн өмд өмссөн залуу охинтой хамт өмсдөг.
3759492488.jpg| 2| The boy is swinging on a pole at the beach .|Хүү нь далайн эрэг дээр шон дээр дүүжлэв.
3659686168.jpg| 4| Two young women sit by a fountain .|Хоёр залуу усан оргилуураар сууж байв.
8066894280.jpg| 0| There are children and adults from an Asian culture , and two of the adults are wearing clown noses and are standing on either side of a young boy , while one of the adults has a pink tube in his hand and is pointing at the pink tube in the young man 's hand .|Азийн соёлд, насанд хүрэгчид, насанд хүрэгчдийн хоёр нь алиалагч хамар өмсөж, залуу хүүгийн аль нэгэнд нь зогсож байгаа бөгөөдзалуу хүний гар.
6155570605.jpg| 4| A man participates in a tricycle race .|Эрэгтэй хүн дугуй унадаг уралдаанд оролцдог.
397014085.jpg| 2| Two young males talking to each other on a grassy surface .|Хоёр залуу эрэгтэй бие биетэйгээ загатнах гадаргуу дээр ярьдаг.
2514571664.jpg| 3| A woman in a blue apron cooking in a kitchen .|Гал тогоонд цэнхэр хормогч хоол хийдэг эмэгтэй.
3793619579.jpg| 2| A boy holding a silver helmet is staring at something .|Мөнгөн дуулга барьж байгаа хүү ямар нэгэн зүйл дээр ширтэж байна.
44619131.jpg| 3| Three men and one woman are working on computers .|Гурван эрэгтэй, нэг эмэгтэй компьютер дээр ажиллаж байна.
4843548093.jpg| 1| A woman in a pink dress holding an umbrella and standing on a concrete pillar shushes the camera .|Ягаан өнгийн даашинзтай эмэгтэй хүн шүхэр барьж, бетонон дээр зогсож, бетонон бетонон дээр зогсож байна.
83292701.jpg| 1| Two boys in black pants are in contact with each with a slide in the background .|Хар өмд өмссөн хоёр хүү нь тус бүрээр гулсаж байна.
2214821600.jpg| 2| A woman carrying a black purse is walking past a green gagnant sign .|Хар түрийвч авч явдаг эмэгтэй ногоон гагцаж,
2608116127.jpg| 4| A small dog and a kitten are facing one another .|Жижиг нохой, зулзага бие биетэйгээ тулгарч байна.
4490635744.jpg| 3| They are here to ensure no one crosses the barriers .|Тэд хэн ч саад бэрхшээлийг хөндлөн гарахгүй байхын тулд энд байна.
279550225.jpg| 4| Man with a pierced tongue next to a woman .|Эмэгтэй хүний хажууд цоолсон хэлтэй хүн.
3410899419.jpg| 4| Children bathe in water from large drums .|Хүүхдүүд том бөмбөрөөс усанд усанд ордог.
2773011586.jpg| 1| Water log amusement park ride with people in it at night .|Шөнийн цагаар усан үзмийн ороолт хийх парк руу явах.
4822495419.jpg| 0| A man standing in front of a shop that is closed wearing a bag and eating a yellow Popsicle talking on his cellphone .|Хаалттай дэлгүүрийн урд зогсож байсан нэг хүн цүнх зүүж, шар попплин дээр гардаг.
539751252.jpg| 1| A toddler is making a splash inside a blue paddling pool .|Хүүхэд цэнхэр сэлүүрт усан сан дотор цацаж байна.
538638526.jpg| 2| A lady in a red shirt and white pants is standing on a trashcan trying to take pictures .|Улаан цамц, цагаан өмд, цагаан өмд нь зураг авах гэж оролдож байгаа хогийн сав дээр зогсож байна.
4552595911.jpg| 2| These people are gathered in a room reading something .|Эдгээр хүмүүс нэг зүйлийг уншиж буй өрөөнд цуглардаг.
3590654365.jpg| 4| Four men in a rodeo with a bull bucking|Бухын бухтай хамт Родео дахь дөрвөн эр
3631530817.jpg| 3| A man on stage next to a microphone .|Микрофоны хажууд байгаа эр хүн.
2414136642.jpg| 4| Two people hugging on the street .|Гудамжинд хоёр хүн тэврэв.
2299720433.jpg| 2| A man sitting at a table using a notebook computer .|Тэмдэглэлийн дэвтэр компьютер ашиглан ширээн дээр сууж буй хүн.
1175268298.jpg| 3| Young boy fences with a dummy in a wooded setting while others pass by .|БИДНИЙ ХУВЬ ХҮНИЙГ ХҮРГЭЕ.
3856149623.jpg| 4| People at work reading procedures .|Ажил унших журамд хүмүүс.
3380072636.jpg| 1| A team of soccer players lifts one teammate so that he can reach the ball .|Хөл бөмбөгийн тоглогчид нэг багийн хамтрагчаа бөмбөг рүү хүрч чадна.
5340639100.jpg| 4| A group of young adults are hanging out in a bowling alley .|Залуу насанд хүрэгчдийн бүлгүүд боулингийн хонгилд өлгөөтэй байдаг.
380817690.jpg| 4| A woman is sitting in a room filled with art pieces .|Эмэгтэй хүн урлагийн бүтээлээр дүүрсэн өрөөнд сууж байна.
43331469.jpg| 1| Toddler playing with chess pieces on a chessboard .|Шатах самбар дээр шатар хугарч тоглодог.
2648165716.jpg| 2| A little boy holds a bat in the air waiting on the ball .|Бяцхан хүү нь бөмбөгийг хүлээх агаарт сарьсан багваахай юм.
2324842075.jpg| 4| A man is speaking into a microphone .|Эр хүн микрофон руу ярьж байна.
3672940355.jpg| 3| a young girl kicking a blue ball|Цэнхэр бөмбөг өшиглөж буй залуу охин
4975536758.jpg| 3| a boy running away from his bicycle on an empty street .|Хөвгүүн дугуйгаар унадаг дугуйнаасаа зугтсан хүү.
4605436317.jpg| 2| Two people are dressed in costumes with flowers on them .|Хоёр хүн хувцастай хувцастай хувцас өмсдөг.
2951092164.jpg| 1| A little boy and girl in their swimsuits wearing arm floats .|Гараа өмсдөг бяцхан хүү, охин.
3156379613.jpg| 2| The man in the gray hooded jacket finds the missing piece .|Саарал бүрээстэй хүрэм нь алга болсон хэсгийг олдог.
766099402.jpg| 1| The woman is wearing an orange dress riding on the ferris wheel .|Эмэгтэй хүн улбар шар өнгийн хувцас өмсөж буй улбар шар өнгийн хувцас өмсдөг.
243380205.jpg| 1| Young boy jumping off of a trampoline into a lake .|Залуу хүү нь нууранд трамплинаас үсэрч байв.
3038952914.jpg| 2| Four people looking off into the distance with binoculars .|Дөрвөн хүн дуран руу чиглэсэн зайг дурдав.
457507422.jpg| 1| Two men work with wooden beams in a room undergoing refurbishment .|
4783280278.jpg| 1| Two little girls are sitting on cement steps eating .|Хоёр бяцхан охидууд цементийн алхамууд дээр сууж байна.
4538210392.jpg| 1| A man jogging on a nice park jogging path , surrounded by spring foliage and trees .|
1182733666.jpg| 1| One man in a blue shirt is operating a watering hose and another man in a brown shirt is moving tarps .|Цэнхэр цамц өмссөн нэг хүн усан доорх цамц, өөр нэг эрийг усалж, нөгөө эр нь тариалалтанд ордог.
4847077399.jpg| 3| Many people stand looking a woman holding a dog in a blue sack .|Олон хүмүүс цэнхэр шуудайгаар нохой барьж байгаа эмэгтэйг хардаг.
3660826540.jpg| 1| A young boy wearing a striped shirt points into the distance .|Алсын зайнд судалтай цамц өмссөн залуу хүү.
1335519498.jpg| 2| A woman is pushing a young girl in a swing .|Эмэгтэй хүн дүүжин дүүжлэв.
3084380974.jpg| 0| A surfer in a full body wetsuit in the ocean with a white surfboard .|Цагаан гадаргуутай далай дахь бүрэн биед бүрэн биетэй.
2640000969.jpg| 4| Brown dog jumping into the pool|Браун нохой усан санд үсэрч байв
7617060434.jpg| 2| A teen is standing in a field and is in the upswing position after hitting a golf ball .|Өсвөр насныхан талбайд зогсож байна, гольфын бөмбөг цохиход босоод байрладаг.
2610182170.jpg| 4| A bride admires her bouquet .|
2709683703.jpg| 1| A man is squirting water into a white dog 's mouth with a squirt gun .|Эрэгтэй хүн цагаан нохойтой, цагаан нохойн аманд ордог.
2344820947.jpg| 2| Three people stand outside in front of an A-frame .|Гурван хүн гадны хүрээ урд байр сууриа зогсож байна.
3056784295.jpg| 3| Woman with red pants riding a moped .|Улаан өмдтэй эмэгтэй хүн мопед унаж байна.
4726714032.jpg| 4| Big water fountain in middle of courtyard .|Хашааны дунд том усан оргилуур.
4835932220.jpg| 2| Man walking by a corner market with graffiti .|Граффити бүхий булангийн зах зээлээр алхаж буй хүн.
4144960305.jpg| 4| The bruins play hockey against an opposing team .|Брюинс нь эсрэг багийн эсрэг хоккей тоглодог.
1925086298.jpg| 2| A woman is typing at a computer while another woman stands over her and looks on .|Эмэгтэй хүн компьютер дээр бичиж байгаа бөгөөд өөр эмэгтэй түүн дээр зогсож, хардаг.
2255280884.jpg| 3| young Chinese children are at band practice .|Залуу хятад хүүхдүүд хамтлагийн дадлага дээр байдаг.
4039390335.jpg| 1| Women in colorful foreign clothing talk in a market next to a bread stand .|Талхны хажууд байгаа зах зээлд өнгөлөг хувцас өмссөн эмэгтэйчүүд.
157955034.jpg| 4| A woman sitting on a lawn chair .|
137444466.jpg| 2| People in a courtyard plaza are sitting and standing .|Куртарт Плаза дахь хүмүүс сууж, зогсож байна.
106039369.jpg| 2| A man in a home kitchen is flipping a pancake extremely high .|Гэрийн гал тогооны өрөөнд байгаа хүн бинкийг маш өндөр эргүүлж байна.
4852309195.jpg| 4| A group of anime cosplayers gather for a photo .|Аниме Cosplayers-ийн бүлэглэл зураг авахаар цуглардаг.
459560684.jpg| 4| A woman stands near a light fixture next to a man .|Эмэгтэй хүний хажууд гэрлийн бэхэлгээний ойролцоо зогсож байна.
6282577355.jpg| 0| Two motorcyclists round a curve along a racing track , in close proximity to one another .|Хоёр мотоцикльчид уралдааны зам дагуу муруй дугуйгаар дугуйлж, бие биенээ ойр дотно байх.
4928359809.jpg| 1| The parade of nations at the opening games of the Olympics .|Олимпийн нээлтийн нээгдсэн нээлтийн үеэр үндэстний жагсаал.
2463991834.jpg| 3| Four men pulling a cannon on a wagon .|Дөрвөн хүн вагон дээр их буу татдаг.
4238762387.jpg| 0| A woman in a yellow shirt behind an outside counter is smiling and giving the peace sign .|Гаднах лангуун дээр шар цамцан дахь эмэгтэй хүн инээмсэглэж, энх тайвны тэмдгийг өгдөг.
4720926155.jpg| 2| A man is scratching his back while walking along the shore .|Эр хүн эрэг дагуу алхаж байхдаа нуруугаа зурж байна.
493274225.jpg| 1| A man walking behind a red truck near a storefront .|Дэлгүүрийн ойролцоо улаан ачааны машины ард алхаж байна.
3433386961.jpg| 4| three young women goofing off at a bar .|Гурван залуу эмэгтэйчүүд бааранд явдаг.
153299765.jpg| 2| A man prepares to sell items from his food cart .|Хүн хүнсний тэрэгнээс эд зүйлсээ зарахаар бэлддэг.
115684808.jpg| 0| Three people are standing in the snow preparing an ice fishing boat .|Гурван хүн мөсөн загас барих усан онгоцоор бэлдэж байна.
3441531010.jpg| 0| A brown and white dog runs through the water with trees and branches around .|Хүрэн, цагаан, цагаан нохой нь мод, мөчрөөр дамждаг.
4602508987.jpg| 0| Two ladies in sunglasses sit and rest on a black marble decoration in the city .|Нарны шилэнд хоёр бүсгүй сууж, хотын хар гантиг чимэглэл дээр суугаад.
140770875.jpg| 0| An older gentleman working with a machine and shaving down a wooden object|Машинаар ажиллаж, модон объектыг хусуулж, хуссан хуучин жентлүүлэгч
7271256962.jpg| 2| a woman in sunglasses takes a child out in a stroller on the sidewalk .|Нарны шилэнд байгаа эмэгтэй нь явган хүний зам дээр гишгэв.
384104693.jpg| 3| A woman in sunglasses and a scarf walk down the sidewalk .|Нарны шил, ороолт, ороолт нь явган хүний зам дээр алхдаг.
4675063973.jpg| 4| A woman and a man at a crosswalk in nyc .|NYC-д явган хүний зам дээр эмэгтэй, эрэгтэй хүн.
2469638631.jpg| 2| Several men are standing in a grassy areas with one man kneeing a soccer ball .|Хэдэн эр хүн нэг хүн хөл бөмбөгт бөмбөг өвдөг сөгддөг өвсөн талбайд зогсож байна.
2885912662.jpg| 0| A small girl is looking at a pink and black ball , in a parking lot .|Жижигхэн охин нь ягаан, хар бөмбөгийг машины зогсоол дээр хардаг.
390892622.jpg| 0| Several youth stand around watching as a banjo player , piano player , and guitar players play in a dirty setting .|Хэд хэдэн залуучууд Банжо тоглогч, төгөлдөр хуур, төгөлдөр хуур тоглох, гитар тоглогчид, гитар тоглогчид, гитар тоглогчид бохир нөхцөлд тоглодог.
2325436612.jpg| 4| Two men are looking through microscopes in a room .|Хоёр хүн нэг өрөөнд микроскопоор харж байна.
4578856261.jpg| 4| A man wearing a backpack is walking down the street .|Үүргэвч өмссөн эр гудамжаар алхаж байна.
2500467647.jpg| 3| A technician uses microscope to solder a circuit board .|
799431781.jpg| 0| The little boy covering his mouth is sitting between a covering his eyes and another boy covering his ears .|Амаа хамарсан бяцхан хүү түүний нүдийг хамарч, чихнийхээ нөмрөг хоорондоо сууж байна.
2344969116.jpg| 1| A group of young boys in red robes are bringing their pots to be filled with water .|Улаан дээлэн дэх залуу хөвгүүдийн бүлэг нь савыг усаар дүүргэж өгдөг.
4567985140.jpg| 3| A man in a plaid suit coat gestures with his hand .|Гараараа костюмтай костюмтай цув өмсдөг хүн.
3876652419.jpg| 4| Three young boys tossing a watermelon .|Гурван залуу хөвгүүд тарвас шидэв.
3361278843.jpg| 4| Two black males in front of a rickshaw .|Рикшоугийн өмнө хоёр хар эр.
6312121806.jpg| 2| a man is sweeping the sidewalk with a push broom|Эр хүн явган хүний замыг шүүрч авах замаар шүүрдэж байна
144571886.jpg| 1| Woman giving a presentation about a Chevrolet car .|Эмэгтэй хүн Chevrolet машины тухай танилцуулга өгч байна.
4850359729.jpg| 1| Two women walking down the sidewalk in the city communicating with one another .|Хотын явган хүний зам дээр алхаж буй хоёр эмэгтэй.
2426047791.jpg| 0| Older men and females stand around as men carry at hot object with coals in it .|Хөгшин эрчүүд, эмэгтэй хүмүүс эрчүүдэд халуухан объекттой хамт байдаг.
4400684369.jpg| 0| Two girls in white sitting next to man in tan shirt , with two boys who are facing away from camera , all sitting around a table with blue top and blue and white dinnerware .|Таныг Цагаан цамцны хажууд хоёр охин, Камераас хол байгаа хоёр хүүтэй, бүгд цэнхэр дээд, цэнхэр, цагаан хоолтой ширээн дээр сууж байна.
618292739.jpg| 0| A woman in tight jeans and a long-sleeved top in front of a line of yellow flowers and a slightly cloudy skyline .|Хатуу жинсэн өмд, шар өнгийн цэцэгсийн урд, урт ханцуйтай, бага зэрэг үүлэрхэг тэнгэрийн тэнгэрийн урд.
4942452239.jpg| 1| Three men in overalls walk down a sidewalk in the midst of pedestrian traffic .|ХУДАЛДАН АВАХ АВТОМАШИНГИЙН ГАЗРЫН ХУГАЦААНЫ ТУХАЙ ХУВИЙН ЗАСГИЙН ДЭЛГЭРЭНГҮЙ БАЙНА.
4483334217.jpg| 0| A man jumps with his bike in a parking lot next to a four story building .|Эрэгтэй дугуйгаар дугуйгаараа дугуйныхаа зогсоолын хажууд байрандаа үсрэв.
3781615817.jpg| 4| Two ethnic men are talking outside under a tree .|Хоёр угсаатны эрчүүд модны доор ярьж байна.
4633772793.jpg| 2| A Muslim is watching an outdoor event next to a woman with a umbrella .|Лалын шашинтнууд шүхэртэй эмэгтэй хүний хажууд гадаа үйл явдлыг үзэж байна.
350443876.jpg| 0| A person stands on a ladder and a small child climbs at the bottom of the ladder .|Нэг хүн шатан дээр зогсож, шатаж буй жижиг хүүхэд шатны ёроолд авирдаг.
229352841.jpg| 2| Two men in tee shorts work diligently preparing food for customers .|Tee Bomms-д хоёр эрэгтэй ажилчдад үйлчлүүлэгчидтэй хоол бэлтгэх ажил.
5293036215.jpg| 0| Two women standing outdoors on a winter day in the countryside .|Хөдөө нутагт өвлийн өдөр гадаа зогсож байв.
7212803242.jpg| 1| A little child is trying to feed his mom a piece of messy cake .|Бага зэрэг хүүхэд ээждээ замбараагүй бялууг хооллохыг хичээдэг.
3052412278.jpg| 2| Three kids wearing brown shirts and jeans jumping outdoors with leaves on the ground .|Гурван хүүхэд нь газар дээр үсэрч, жинсэн өмд өмсдөг гурван хүүхэд, жинсэн өмд өмсдөг.
43390068.jpg| 3| A man and woman are standing on the stairwell|Эрэгтэй, эмэгтэй хүмүүс Шатаар зогсож байна
4929428870.jpg| 0| A group of people works hard to paddle their boat .|Бүлэг бүлэг хүмүүс завинаа сэлүүр хийхэд хэцүү байдаг.
2407091303.jpg| 1| A little boy wearing a red shirt is standing on a slide .|Улаан цамц өмссөн бяцхан хүү слайд дээр зогсож байна.
7635804008.jpg| 1| Participants are on horses competing in a game|Оролцогчид тоглоомонд өрсөлдөж буй морьдууд байдаг
4956736363.jpg| 4| People exit from a grand doorway .|Хүмүүс Гранд хаалганаас гарч ирдэг.
495340319.jpg| 3| Boys playing tag football run down the field .|Хөвгүүд шошго тоглож буй хөлбөмбөгийн хөлбөмбөгийн талбай дээр гүйдэг.
33108590.jpg| 4| two people look at a street vendor .|Хоёр хүн гудамжны борлуулагчийг хардаг.
5971180169.jpg| 1| Three female swimmers in swim caps and goggles are lined up in a pool with their arms outstretched .|Усан сэлэлтийн малгай, нүдний шил, нүдний шил нь усан сангийн гараа сунгасан усан санд байрладаг.
3204500803.jpg| 4| Two women wearing red skirts .|Улаан банзал өмссөн хоёр эмэгтэй.
3657209354.jpg| 0| A person wearing a hat and glasses sits on a cliff and smiles .|Малгай, шил зүүсэн хүн хадан цохион дээр сууж, инээмсэглэв.
3569406219.jpg| 0| A Japanese woman in a colorful outfit is walking with a man dressed in black past a wooden building .|Өнгөт хувцас өмссөн япон эмэгтэй нь модон байшинд хувцас өмссөн эртэй хамт алхаж байна.
4718157654.jpg| 3| Two women buying baked goods from a man at a market .|Зах зээл дээр нэг эр хүнээс гурилан бүтээгдэхүүн худалдаж авдаг.
3829614604.jpg| 4| People are moving delicate objects .|Хүмүүс нарийн объектуудыг хөдөлж байна.
3443460885.jpg| 2| A young girl stands on a rocky beach looking at the water .|Залуу охин ус руу харав.
2858757067.jpg| 2| A man dressed in a red coat , white pants , and black boots is sitting on a horse at an amusement park .|Улаан цув, цагаан өмд өмсөж, хар гутал, хар гутал нь зугаа цэнгэлийн цэцэрлэгт хүрээлэнд сууж байна.
3970114165.jpg| 2| A man and woman watching a sports event in a stadium .|Спортын үйл явдлыг спортын арга хэмжээнд үзэж буй эрэгтэй, эмэгтэй.
2321764238.jpg| 0| A young woman with blond-hair is holding a white statuette of a Japanese geisha woman .|Шаргал үстэй залуу эмэгтэй Японы Гейишагийн эмэгтэйг цагаан хөшөө барьж байна.
2425411995.jpg| 2| A woman in tennis clothes running to hit a ball with her tennis racket .|Теннисний хувцас өмссөн эмэгтэй теннисний цохиуртай хамт бөмбөг цохихоор гүйдэг эмэгтэй.
4248543428.jpg| 1| Busy city street scene displaying pedestrians and automobile traffic .|Завгүй хотын гудамжны дүр зураг явган зорчигч, автомашины хөдөлгөөнийг харуулж байна.
5367322642.jpg| 2| A woman uses a cultivation tool to tend to crops in a field .|Эмэгтэй хүн тариалангийн хэрэгслийг талбайд ургац хураах хандлагатай байдаг.
5321755236.jpg| 4| A woman jumping in a desert like area .|Газар шиг цөлд үсэрч буй эмэгтэй.
1242629236.jpg| 2| A man wearing a brown shoes and with a cardigan and glasses sits in a short stool .|Хүрэн гутал өмссөн хүн, кардиган, шил, шилтэй, шилний богино сандал дээр сууна.
3187801616.jpg| 0| Man in a military outfit handing something in a plastic bag to a group of children outside near a brown building .|Цэргийн гаднах хувцастай хүн гялгар уутанд, бор өнгийн байшингийн ойролцоо нэгдмэл хүүхдүүдэд нэг зүйл хийдэг.
2178306830.jpg| 3| A scuba diver swims underwater while wearing fins .|Скуба шумбагчдыг сэрж байхдаа усан доор усанд сэлэв.
2623023009.jpg| 0| One young girl is sitting on the edge of an in-ground swimming pool , while the other girl is next to her in the water wearing swim goggles .|Нэг залуу охин газрын усан сангийн ирмэг дээр сууж байна
1680409989.jpg| 4| A lady painting on a public wall !|Нийтийн хананд зураг зурах!
6317524663.jpg| 1| Adolescent white man with black hair , black pants , and a white and black polka-dotted shirt holding and singing into a microphone .|Хар үстэй цагаан, хар өмд, хар өмд, цагаан өмд, цагаан, хар полька-DOLKA-DOLDED, микрофон руу дуулна.
2528521798.jpg| 4| A white car racing in the dirt and water|Шороо, усанд цагаан машин уралдаж байна
472496249.jpg| 2| A woman dressed in green wearing a blue headdress lays on the smooth looking sand in a desert .|Ногоон хувцас өмссөн эмэгтэй цөлжсөн цэнхэр толгой дээр нь цөлд жигд элс өмсдөг.
7651090648.jpg| 0| A woman with brown hair and a black blazer is making a speech at a podium about working women .|Хүрэн үстэй эмэгтэй, хар өнгийн Blazer нь хөдөлмөрч эмэгтэйчүүдийн тухай индэр дээр үг хэллэг хийж байна.
2535447414.jpg| 0| A man with glasses and a tootsie pop , browsing through pictures on his digital camera .|Нүдний шил, Tootsie Pop, POPIE POP, дижитал камер дээр зураг авах.
3914720167.jpg| 1| A young girl in a black dress is holding a red flag and covering a happy expression .|Хар даашинзтай залуу охин улаан туг, аз жаргалтай илэрхийлэлийг хамарч байна.
5589601689.jpg| 3| A hand holds a pencil over a page of sheet music .|
3458211052.jpg| 0| A line of people staring at the vehicles on the dirt track|Шороон зам дээр тээврийн хэрэгслийг ширтэж буй хүмүүсийн шугам
162839055.jpg| 4| Several uniformed people are standing in ceremony .|Хэд хэдэн дүрэмт хувцастай хүмүүс ёслолын үеэр зогсож байна.
3862675867.jpg| 3| A crowd of people is standing outside next to a street .|Хүмүүсийн олон түмэн гудамжны хажууд гадаа зогсож байна.
6225843702.jpg| 0| A cyclist on his bike jumps over a board in a large open grass field , during what appears to be a race .|Дугуй дээрх дугуйчин нь том нээлттэй өвс талбай дээр үсэрч, уралдаан байх үед том нээлттэй өвсөөр үсрэв.
468694416.jpg| 0| 2 elderly women in light colored clothing holding a flag on the side of the road while two women watch .|
2871962580.jpg| 2| A football player with a football is being pursued by another player .|Хөлбөмбөгийн хөлбөмбөгчин хөлбөмбөгчин өөр тоглогчийг дагаж мөрдөж байна.
2690960083.jpg| 1| A young asian woman in an orange dress speaking to someone .|Улбар шар өнгийн хувцас өмссөн залуу ази эмэгтэй хүнтэй ярьж байна.
4879725156.jpg| 3| This bandana clad woman is looking down at something while people are all around her .|Энэхүү BANDAACAL CLAD HALL ХҮНИЙГ ХҮСЭХГҮЙ БАЙХГҮЙ БАЙНА.
3821667323.jpg| 4| Two boys are playing in the water .|Хоёр хүү усанд тоглож байна.
247637795.jpg| 1| A woman wearing a scarf stands near the water and looks down .|Ороолт өмссөн эмэгтэй усны ойролцоо зогсож, доошоо харав.
4811312839.jpg| 3| A man in a hat and an orange jacket stands beside a plastic wrapped female mannequin .|Малгай, улбар шар хүрэм, улбар шар хүрэм нь хуванцар ороосон эмэгтэй манекенийн дэргэд зогсож байна.
1781227288.jpg| 0| a man wearing a yellow shirt standing in the middle of a bunch of garbage and a graffitied wall .|Багцын хог, траффикийн дундуур шар цамц өмсдөг шар цамц өмсдөг.
3546342037.jpg| 2| Couple getting married , bride holding pink flowers .|Хосууд гэрлэж, сүйт бүсгүйн ягаан цэцэг барьдаг.
2899501488.jpg| 2| People on motorbikes are coming around a turn .|Мотоцикль дээр хүмүүс ээлж ирж байна.
3973858553.jpg| 4| A lady with an exposed belly holds a beer can .|Ил гарсан гэдэстэй хатагтай пиво хийж болно.
2622702783.jpg| 1| A woman in a white shirt is ironing clothes in a bedroom .|Цагаан цамцтай эмэгтэй нь унтлагын өрөөнд хувцас өмсдөг.
7664119606.jpg| 2| A group of team Great Britain cyclists , try to pedal their way into victory .|Багийн баг Их Британийн бүлгийн Британийн дугуйчид, ялалтад нь залгахыг хичээ.
3329094415.jpg| 2| Man in green shirt and black pants is jumping in the laundry room .|Ногоон цамц, хар өмд, хар өмд нь угаалгын өрөөнд үсэрч байна.
17185253.jpg| 0| Here are some elderly people sitting on the bench in the park .|Парк дахь вандан сандал дээр сууж буй зарим хөгшин хүмүүс энд байна.
2959941749.jpg| 3| A group of men playing hockey .|Хоккейн тоглодог эрчүүд.
73471419.jpg| 1| Two guys in a hot tub relaxing .|Халуун ванн дахь хоёр залуу тайвширдаг.
4796766141.jpg| 1| A woman with wavy short red-hair and glasses wearing a tan sleeveless shirt is walking down a street .|Долгион богино улаан үстэй, нүдний шил зүүсэн эмэгтэй нь ханцуйгүй цамц өмсдөг.
6201072279.jpg| 2| A guy about to hit another guy with a hammer , while third guy watches .|Нэг залууг алхаар цохих гэж байгаа залуу. Гурав дахь залуу ажиглаарай.
448257345.jpg| 3| A person is eating pasta , while a dog is watching .|Хүн паста идэж байгаа бол нохой үзэж байна.
23016250.jpg| 1| A woman wearing a yellow outfit is holding a racket .|Шар хувцас өмссөн эмэгтэй цохиурыг цохиуртай байдаг.
400946967.jpg| 3| A shirtless man works on preparing a fish in a sandy area .|Цамцгүй эр нь элсэрхэг талбайд загас бэлтгэхэд ажилладаг.
2924259848.jpg| 4| A dirt bike takes a turn .|Шороон дугуй нь ээлж шаарддаг.
1095109931.jpg| 1| A young woman holds a red and green pepper at a vegetable stand .|Залуу эмэгтэй нь улаан, ногоон чинжүүг ногооны индэр дээр хадгалдаг.
3631029759.jpg| 0| Two women , both with short , dark hair and wearing glasses , sitting on a wood bench , taking pictures on their iPhone of sleeping puppies , who are lying in a red cardboard box .|Хоёр эмэгтэй богино, харанхуй үстэй, нүдний шил зүүж, улаан картон хайрцагт өмсдөг,
4678723492.jpg| 3| A man picks up a dripping wet woman happily .|Эрэгтэй хүн дуслаар дусдаг нойтон эмэгтэйг аз жаргалтайгаар авдаг.
